log_id,timestamp_seconds,frame_number,student_id,behaviour_name,confidence,risk_score,risk_label,phone_detected,body_rotation,head_yaw,head_pitch,explanation,created_at
1,0.0,0,1,Body Rotation,1.0,0.7,Safe,0,-43.3522,9.0754,16.6631,Score increased by 0.70 points due to 'Body Rotation' (confidence: 1.00) and temporal duration weight x1.0 → Risk Level: Safe,2026-07-26 00:41:45
2,0.033,1,1,Body Rotation,0.7844,2.99,Safe,0,-31.3761,6.4578,16.2496,Score increased by 1.12 points due to 'Communication Gestures' (confidence: 0.78) and temporal duration weight x1.2 → Risk Level: Safe,2026-07-26 00:41:45
3,0.033,1,1,Hand Movement,1.0,2.99,Safe,0,-31.3761,6.4578,16.2496,Score increased by 1.12 points due to 'Communication Gestures' (confidence: 0.78) and temporal duration weight x1.2 → Risk Level: Safe,2026-07-26 00:41:45
4,0.033,1,1,Communication Gestures,0.78,2.99,Safe,0,-31.3761,6.4578,16.2496,Score increased by 1.12 points due to 'Communication Gestures' (confidence: 0.78) and temporal duration weight x1.2 → Risk Level: Safe,2026-07-26 00:41:45
5,0.067,2,1,Body Rotation,0.6311,5.75,Safe,0,-25.2423,5.7686,10.5004,Score increased by 1.46 points due to 'Communication Gestures' (confidence: 0.78) with 2x repetition bonus and temporal duration weight x1.2 → Risk Level: Safe,2026-07-26 00:41:45
6,0.067,2,1,Hand Movement,1.0,5.75,Safe,0,-25.2423,5.7686,10.5004,Score increased by 1.46 points due to 'Communication Gestures' (confidence: 0.78) with 2x repetition bonus and temporal duration weight x1.2 → Risk Level: Safe,2026-07-26 00:41:45
7,0.067,2,1,Communication Gestures,0.78,5.75,Safe,0,-25.2423,5.7686,10.5004,Score increased by 1.46 points due to 'Communication Gestures' (confidence: 0.78) with 2x repetition bonus and temporal duration weight x1.2 → Risk Level: Safe,2026-07-26 00:41:45
8,0.1,3,1,Body Rotation,0.6465,9.16,Safe,0,-25.8607,5.8609,12.8443,Score increased by 1.80 points due to 'Communication Gestures' (confidence: 0.78) with 3x repetition bonus and temporal duration weight x1.2 → Risk Level: Safe,2026-07-26 00:41:45
9,0.1,3,1,Hand Movement,1.0,9.16,Safe,0,-25.8607,5.8609,12.8443,Score increased by 1.80 points due to 'Communication Gestures' (confidence: 0.78) with 3x repetition bonus and temporal duration weight x1.2 → Risk Level: Safe,2026-07-26 00:41:45
10,0.1,3,1,Communication Gestures,0.78,9.16,Safe,0,-25.8607,5.8609,12.8443,Score increased by 1.80 points due to 'Communication Gestures' (confidence: 0.78) with 3x repetition bonus and temporal duration weight x1.2 → Risk Level: Safe,2026-07-26 00:41:45
